"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2018","41,623.52","41,886.77","41,974.35","41,458.12","55.39K","-0.59%"
"May 17, 2018","41,869.65","42,272.84","42,277.00","41,833.60","33.40K","-1.02%"
"May 16, 2018","42,301.20","42,467.22","42,579.81","42,198.84","39.63K","-0.37%"
"May 15, 2018","42,459.53","42,478.99","42,608.08","41,845.31","111.34K","-0.09%"
"May 14, 2018","42,498.86","43,543.08","43,543.08","42,431.44","97.49K","-2.51%"
"May 11, 2018","43,594.79","43,869.07","44,027.58","43,550.68","86.30K","-0.60%"
"May 10, 2018","43,855.78","43,877.06","44,139.12","43,735.44","74.29K","0.14%"
"May 09, 2018","43,795.00","44,163.86","44,249.13","43,386.63","80.67K","-0.62%"
"May 08, 2018","44,066.96","44,364.02","44,440.10","43,925.64","80.07K","-0.70%"
"May 07, 2018","44,378.52","44,546.19","44,763.37","44,321.88","59.94K","-0.36%"
"May 04, 2018","44,536.91","44,750.79","44,785.32","44,467.44","68.78K","-0.47%"
"May 03, 2018","44,746.63","45,214.42","45,259.77","44,556.18","73.75K","-1.00%"
"May 02, 2018","45,196.37","45,471.74","45,484.39","45,160.64","64.76K","-0.64%"
"Apr 30, 2018","45,488.86","45,752.81","45,841.40","45,424.87","155.96K","-0.12%"
"Apr 27, 2018","45,542.78","45,470.35","45,671.76","45,458.25","98.49K","0.18%"
"Apr 26, 2018","45,460.87","45,769.04","45,780.94","45,427.19","86.79K","-0.56%"
"Apr 25, 2018","45,718.34","45,885.72","45,942.10","45,681.74","104.64K","-0.35%"
"Apr 24, 2018","45,876.70","45,426.10","45,911.61","45,409.50","84.50K","1.11%"
"Apr 23, 2018","45,371.95","45,235.40","45,452.98","45,191.00","61.79K","0.25%"
"Apr 20, 2018","45,259.34","45,400.36","45,525.73","45,153.92","57.83K","-0.28%"
"Apr 19, 2018","45,387.77","45,460.80","45,492.33","45,122.75","111.17K","-0.20%"
"Apr 18, 2018","45,478.63","45,835.14","46,003.96","45,423.95","85.23K","-0.71%"
"Apr 17, 2018","45,801.73","45,690.11","45,881.84","45,484.94","73.71K","0.26%"
"Apr 16, 2018","45,682.24","46,095.83","46,095.83","45,610.22","68.26K","-0.85%"
"Apr 13, 2018","46,071.86","46,310.41","46,349.69","46,036.23","105.27K","-0.56%"
"Apr 12, 2018","46,331.71","46,576.74","46,577.98","46,219.85","153.29K","-0.33%"
"Apr 11, 2018","46,486.49","46,557.41","46,759.47","46,472.15","106.35K","0.02%"
"Apr 10, 2018","46,476.73","46,599.81","46,679.69","46,407.10","74.86K","-0.22%"
"Apr 09, 2018","46,580.62","46,652.16","46,828.20","46,530.06","100.59K","-0.12%"
"Apr 06, 2018","46,637.62","46,783.54","47,144.12","46,542.82","136.41K","0.16%"
"Apr 05, 2018","46,560.82","46,325.39","46,656.93","46,085.10","113.58K","0.99%"
"Apr 04, 2018","46,103.61","46,058.24","46,447.91","46,037.54","148.45K","0.20%"
"Apr 03, 2018","46,013.34","45,744.57","46,057.53","45,692.02","135.74K","0.59%"
"Apr 02, 2018","45,741.43","45,624.13","45,771.40","45,413.69","128.18K","0.40%"
"Mar 30, 2018","45,560.30","45,483.29","45,604.59","45,391.71","109.23K","0.16%"
"Mar 29, 2018","45,489.62","45,157.83","45,506.11","45,155.51","163.04K","0.70%"
"Mar 28, 2018","45,172.99","45,032.93","45,232.77","44,899.51","142.67K","0.38%"
"Mar 27, 2018","45,004.19","45,100.61","45,307.45","44,936.12","104.10K","-0.18%"
"Mar 26, 2018","45,083.57","45,019.02","45,118.16","44,784.81","56.93K","0.12%"
"Mar 22, 2018","45,030.22","44,705.94","45,032.41","44,659.33","89.21K","0.86%"
"Mar 21, 2018","44,645.95","44,450.27","44,840.69","44,443.51","82.64K","0.76%"
"Mar 20, 2018","44,309.74","43,542.12","44,404.86","43,542.12","92.62K","1.77%"
"Mar 19, 2018","43,539.60","43,362.88","43,620.81","43,311.85","36.11K","0.41%"
"Mar 16, 2018","43,363.21","43,513.82","43,525.59","43,314.22","54.22K","-0.30%"
"Mar 15, 2018","43,495.07","43,409.07","43,509.56","43,366.67","39.44K","0.20%"
"Mar 14, 2018","43,407.72","43,601.78","43,601.95","43,346.39","47.24K","-0.48%"
"Mar 13, 2018","43,618.07","43,431.31","43,707.13","43,354.13","60.04K","0.48%"
"Mar 12, 2018","43,410.93","43,020.08","43,479.50","43,011.86","31.21K","0.93%"
"Mar 09, 2018","43,011.26","43,089.18","43,188.55","42,860.98","53.89K","-0.14%"
"Mar 08, 2018","43,072.74","43,416.46","43,475.56","42,940.70","69.03K","-0.85%"
