Date,SMB,HML
01 May 2012,-0.84,0.39
02 May 2012,0.7,-0.59
03 May 2012,-0.64,0.11
04 May 2012,-0.21,0.13
07 May 2012,0.14,0.49
08 May 2012,0.35,0.36
09 May 2012,0.17,-0.24
10 May 2012,0.06,0.56
11 May 2012,0.21,-0.94
14 May 2012,-0.07,-0.12
15 May 2012,0.51,-0.21
16 May 2012,-0.17,-0.44
17 May 2012,-0.52,0.43
18 May 2012,-0.18,0.16
21 May 2012,0.67,-1.18
22 May 2012,-0.87,0.29
23 May 2012,0.49,-0.27
24 May 2012,-0.02,0.2
25 May 2012,0.23,-0.1
29 May 2012,0.17,-0.02
30 May 2012,-0.28,-0.25
31 May 2012,0.14,0.56
01 June 2012,-0.54,0.21
04 June 2012,0.1,-0.56
05 June 2012,0.26,0.07
06 June 2012,0.07,0.22
07 June 2012,-0.46,0.13
08 June 2012,0.21,0.01
11 June 2012,-0.88,-0.05
12 June 2012,0.1,0.09
13 June 2012,-0.51,0.36
14 June 2012,0.18,0.37
15 June 2012,0.11,-0.06
18 June 2012,0.13,-0.85
19 June 2012,0.69,0.15
20 June 2012,-0.1,0.15
21 June 2012,-0.09,0.12
22 June 2012,0.67,0.07
25 June 2012,0.08,-0.14
26 June 2012,-0.13,-0.06
27 June 2012,0.39,0.48
28 June 2012,0.16,0.44
29 June 2012,0.39,-0.7
02 July 2012,0.72,-0.02
03 July 2012,0.71,0.07
05 July 2012,0.58,-0.88
06 July 2012,-0.41,0.36
09 July 2012,-0.26,-0.24
10 July 2012,-0.38,0.31
11 July 2012,-0.4,0.74
12 July 2012,0.23,-0.82
13 July 2012,-0.4,0.57
16 July 2012,-0.41,-0.26
17 July 2012,-0.54,0.24
18 July 2012,0.3,-0.79
19 July 2012,-0.35,-0.98
20 July 2012,-0.32,0.07
23 July 2012,-0.69,0.2
24 July 2012,-0.57,0.26
25 July 2012,0.26,-0.05
26 July 2012,-0.82,0.38
27 July 2012,0.59,0.08
30 July 2012,-0.4,0.26
31 July 2012,0,0.26
01 August 2012,-1.6,0.29
02 August 2012,0.25,-0.41
03 August 2012,0.55,0.56
06 August 2012,0.57,0.08
07 August 2012,0.33,0.07
08 August 2012,-0.25,0.59
09 August 2012,0.37,0.12
10 August 2012,-0.34,-0.02
13 August 2012,-0.15,0
14 August 2012,-0.43,-0.05
15 August 2012,0.74,-0.07
16 August 2012,0.47,-0.17
17 August 2012,0.59,0.12
20 August 2012,-0.46,0.59
21 August 2012,0.1,0.4
22 August 2012,-0.44,-0.35
23 August 2012,-0.01,-0.35
24 August 2012,-0.27,-0.03
27 August 2012,0.12,-0.12
28 August 2012,0.6,-0.08
29 August 2012,0.25,0.12
30 August 2012,-0.45,0
31 August 2012,-0.07,0
04 September 2012,0.97,-0.16
05 September 2012,-0.07,0.31
06 September 2012,-0.1,0.34
07 September 2012,-0.01,0.78
10 September 2012,0.29,-0.07
11 September 2012,0.03,0.54
12 September 2012,0.12,0.32
13 September 2012,-0.4,0.56
14 September 2012,0.56,0.48
17 September 2012,-0.18,-0.79
18 September 2012,-0.01,-0.23
19 September 2012,-0.15,0.06
20 September 2012,-0.42,-0.17
21 September 2012,0.49,-0.04
24 September 2012,-0.22,0.33
25 September 2012,-0.34,-0.36
26 September 2012,-0.03,0.03
27 September 2012,0.24,-0.15
28 September 2012,-0.31,-0.25
01 October 2012,0.07,0.23
02 October 2012,-0.15,0.27
03 October 2012,-0.66,-0.02
04 October 2012,-0.2,0.77
05 October 2012,-0.18,0.22
08 October 2012,-0.24,0.22
09 October 2012,-0.3,0.34
10 October 2012,0.38,0.26
11 October 2012,0.33,0.68
12 October 2012,-0.31,-0.9
15 October 2012,-0.15,0.16
16 October 2012,-0.21,-0.24
17 October 2012,0.15,1.13
18 October 2012,-0.59,0.27
19 October 2012,-0.41,0.47
22 October 2012,-0.04,0.17
23 October 2012,0.98,-0.51
24 October 2012,-0.15,0.43
25 October 2012,0.16,-0.08
26 October 2012,-0.13,-0.4
31 October 2012,0.51,0.38
01 November 2012,0.15,0.21
02 November 2012,-0.55,0.25
05 November 2012,0.42,-0.23
06 November 2012,-0.04,0.56
07 November 2012,-0.03,-1.46
08 November 2012,-0.28,0.41
09 November 2012,0.03,-0.14
12 November 2012,-0.18,0.05
13 November 2012,-0.21,-0.3
14 November 2012,-0.36,-0.24
15 November 2012,-0.43,0.17
16 November 2012,0.08,0.03
19 November 2012,0.25,0
20 November 2012,-0.06,0.14
21 November 2012,0.38,-0.06
23 November 2012,-0.15,0.07
26 November 2012,0.54,-0.17
27 November 2012,0.44,-0.21
28 November 2012,0.02,-0.27
29 November 2012,0.69,-0.03
30 November 2012,-0.14,0.27
03 December 2012,0.28,0.22
04 December 2012,0.35,-0.06
05 December 2012,-0.66,0.99
06 December 2012,-0.18,-0.15
07 December 2012,-0.43,0.34
10 December 2012,0.47,0.02
11 December 2012,0.46,-0.06
12 December 2012,-0.7,0.54
13 December 2012,0.03,0.06
14 December 2012,0.32,0.26
17 December 2012,-0.07,0.59
18 December 2012,0.32,0.07
19 December 2012,0.6,0.24
20 December 2012,-0.23,0.72
21 December 2012,0.43,-0.34
24 December 2012,-0.21,0
26 December 2012,-0.16,0.34
27 December 2012,0,-0.17
28 December 2012,0.45,0.01
31 December 2012,0.43,-0.07
02 January 2013,0.16,0.35
03 January 2013,0.12,0.05
04 January 2013,0.1,0.43
07 January 2013,-0.09,-0.36
08 January 2013,0.05,-0.06
09 January 2013,0.29,-0.41
10 January 2013,-0.66,0.51
11 January 2013,0.08,-0.45
14 January 2013,0.03,-0.09
15 January 2013,0.24,0.01
16 January 2013,-0.24,0.23
17 January 2013,0.43,-0.09
18 January 2013,0.03,-0.11
22 January 2013,0.16,0.46
23 January 2013,-0.29,-0.12
24 January 2013,0.26,0.05
25 January 2013,-0.05,-0.28
28 January 2013,0.38,0.12
29 January 2013,-0.45,0.36
30 January 2013,-0.88,0.12
31 January 2013,0.69,0.19
01 February 2013,0.07,0.26
04 February 2013,-0.14,-0.16
05 February 2013,-0.09,0.18
06 February 2013,0.29,0.13
07 February 2013,-0.06,0.02
08 February 2013,0.01,-0.21
11 February 2013,-0.05,0.39
12 February 2013,0.2,0.71
13 February 2013,0.11,-0.01
14 February 2013,0.34,0.12
15 February 2013,0.03,-0.09
19 February 2013,0.22,0.18
20 February 2013,-0.55,-0.64
21 February 2013,-0.31,-0.06
22 February 2013,0.16,-0.06
25 February 2013,-0.21,-0.72
26 February 2013,-0.18,0.02
27 February 2013,-0.38,0.16
28 February 2013,0.1,-0.16
01 March 2013,0.13,-0.33
04 March 2013,-0.41,0.1
05 March 2013,0.22,-0.17
06 March 2013,0.06,0.48
07 March 2013,0.19,0.42
08 March 2013,0.39,-0.16
11 March 2013,-0.34,0.23
12 March 2013,0.05,-0.13
13 March 2013,0.18,0.06
14 March 2013,0.38,0.39
15 March 2013,0.02,0.42
18 March 2013,0.11,-0.23
19 March 2013,-0.03,0.04
20 March 2013,0.27,0.01
21 March 2013,0.17,-0.28
22 March 2013,-0.46,-0.3
25 March 2013,0.29,0.02
26 March 2013,-0.38,-0.22
27 March 2013,0.16,-0.3
28 March 2013,-0.27,-0.3
01 April 2013,-0.93,0.02
02 April 2013,-0.9,-0.33
03 April 2013,-0.42,-0.2
04 April 2013,0.18,0.25
05 April 2013,0.05,0.35
08 April 2013,0.13,0.29
09 April 2013,-0.4,0.2
10 April 2013,0.63,-0.1
11 April 2013,-0.2,-0.14
12 April 2013,-0.13,-0.46
15 April 2013,-1.49,-0.28
16 April 2013,0.18,0.07
17 April 2013,-0.29,-0.55
18 April 2013,0.16,0.02
19 April 2013,0.04,0.13
22 April 2013,-0.15,-0.14
23 April 2013,0.46,0.63
24 April 2013,0.37,1.21
25 April 2013,0.2,0.01
26 April 2013,-0.35,-0.22
29 April 2013,0.13,-0.07
30 April 2013,0.38,-0.05
01 May 2013,-1.4,-0.27
02 May 2013,0.59,0.13
03 May 2013,0.62,0.16
06 May 2013,0.24,0.84
07 May 2013,0.12,0.13
08 May 2013,-0.21,0.13
09 May 2013,0.11,-0.3
10 May 2013,0.43,-0.19
13 May 2013,-0.23,-0.04
14 May 2013,0.12,0.31
15 May 2013,-0.15,0.28
16 May 2013,0.15,-0.28
17 May 2013,-0.01,0.39
20 May 2013,0.38,0.5
21 May 2013,-0.1,-0.08
22 May 2013,-0.73,-0.17
23 May 2013,0.48,-0.08
24 May 2013,0.16,0.06
28 May 2013,0.65,0.21
29 May 2013,-0.36,0.58
30 May 2013,0.31,0.49
31 May 2013,0.51,-0.25
03 June 2013,0.17,-0.1
04 June 2013,-0.3,-0.17
05 June 2013,0.07,-0.26
06 June 2013,0.15,0.26
07 June 2013,-0.47,0.07
10 June 2013,0.65,0.22
11 June 2013,0.01,-0.58
12 June 2013,0.01,0.02
13 June 2013,0.11,0.31
14 June 2013,-0.24,-0.54
17 June 2013,-0.09,0.02
18 June 2013,0.38,-0.05
19 June 2013,0.17,0.11
20 June 2013,-0.02,0.34
21 June 2013,0.19,-0.09
24 June 2013,0.08,-0.66
25 June 2013,-0.02,0.87
26 June 2013,-0.74,-0.13
